"Notes","State","State Code","Year","Year Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"Florida","12","2002","2002",595,16689370,3.6,3.7
,"Florida","12","2003","2003",677,17004085,4.0,4.1
,"Florida","12","2004","2004",915,17415318,5.3,5.4
,"Florida","12","2005","2005",853,17842038,4.8,4.9
,"Florida","12","2006","2006",1012,18166990,5.6,5.7
,"Florida","12","2007","2007",1232,18367842,6.7,6.8
,"Florida","12","2008","2008",1230,18527305,6.6,6.8
,"Florida","12","2009","2009",1358,18652644,7.3,7.4
,"Florida","12","2010","2010",1494,18801310,7.9,8.2
,"Florida","12","2011","2011",1403,19057542,7.4,7.5
,"Florida","12","2012","2012",1107,19317568,5.7,5.7
,"Florida","12","2013","2013",961,19552860,4.9,4.9
,"Florida","12","2014","2014",889,19893297,4.5,4.5
,"Florida","12","2015","2015",943,20271272,4.7,4.6
,"Florida","12","2016","2016",1183,20612439,5.7,5.8
,"Florida","12","2017","2017",1272,20984400,6.1,6.0
,"Florida","12","2018","2018",1282,21299325,6.0,6.0
,"Florida","12","2019","2019",1190,21477737,5.5,5.6
,"Florida","12","2020","2020",1255,21733312,5.8,5.8
,"Georgia","13","1999","1999",39,8045965,0.5,0.5
,"Georgia","13","2000","2000",76,8186453,0.9,0.9
,"Georgia","13","2001","2001",129,8377038,1.5,1.5
,"Georgia","13","2002","2002",140,8508256,1.6,1.6
,"Georgia","13","2003","2003",155,8622793,1.8,1.8
,"Georgia","13","2004","2004",190,8769252,2.2,2.1
,"Georgia","13","2005","2005",231,8925922,2.6,2.5
,"Georgia","13","2006","2006",258,9155813,2.8,2.8
,"Georgia","13","2007","2007",293,9349988,3.1,3.1
,"Georgia","13","2008","2008",319,9504843,3.4,3.3
,"Georgia","13","2009","2009",395,9620846,4.1,4.1
,"Georgia","13","2010","2010",429,9687653,4.4,4.4
,"Georgia","13","2011","2011",436,9815210,4.4,4.4
,"Georgia","13","2012","2012",420,9919945,4.2,4.2
,"Georgia","13","2013","2013",394,9992167,3.9,3.9
,"Georgia","13","2014","2014",482,10097343,4.8,4.7
,"Georgia","13","2015","2015",519,10214860,5.1,5.0
,"Georgia","13","2016","2016",536,10310371,5.2,5.1
,"Georgia","13","2017","2017",568,10429379,5.4,5.4
,"Georgia","13","2018","2018",440,10519475,4.2,4.1
,"Georgia","13","2019","2019",396,10617423,3.7,3.6
,"Georgia","13","2020","2020",493,10710017,4.6,4.6
,"Hawaii","15","1999","1999",24,1210300,2.0,1.9
,"Hawaii","15","2000","2000",24,1211537,2.0,1.9
,"Hawaii","15","2001","2001",31,1225948,2.5,2.5
,"Hawaii","15","2002","2002",38,1239613,3.1,3.1
,"Hawaii","15","2003","2003",31,1251154,2.5,2.4
,"Hawaii","15","2004","2004",45,1273569,3.5,3.5
,"Hawaii","15","2005","2005",53,1292729,4.1,4.0
,"Hawaii","15","2006","2006",42,1309731,3.2,3.1
,"Hawaii","15","2007","2007",65,1315675,4.9,4.8
,"Hawaii","15","2008","2008",42,1332213,3.2,3.0
,"Hawaii","15","2009","2009",50,1346717,3.7,3.6
,"Hawaii","15","2010","2010",53,1360301,3.9,3.8
,"Hawaii","15","2011","2011",61,1374810,4.4,4.3
,"Hawaii","15","2012","2012",46,1392313,3.3,3.4
,"Hawaii","15","2013","2013",51,1404054,3.6,3.5
,"Hawaii","15","2014","2014",43,1419561,3.0,2.9
,"Hawaii","15","2015","2015",42,1431603,2.9,2.8
,"Hawaii","15","2016","2016",55,1428557,3.9,3.6
,"Hawaii","15","2017","2017",40,1427538,2.8,2.5
,"Hawaii","15","2018","2018",33,1420491,2.3,2.3
,"Hawaii","15","2019","2019",26,1415872,1.8,1.6
,"Hawaii","15","2020","2020",31,1407006,2.2,2.2
,"Idaho","16","1999","1999",15,1275674,Unreliable,Unreliable
,"Idaho","16","2000","2000",21,1293953,1.6,1.7
,"Idaho","16","2001","2001",38,1319962,2.9,3.0
,"Idaho","16","2002","2002",33,1340372,2.5,2.6
,"Idaho","16","2003","2003",46,1363380,3.4,3.5
,"Idaho","16","2004","2004",38,1391802,2.7,2.9
,"Idaho","16","2005","2005",35,1428241,2.5,2.6
,"Idaho","16","2006","2006",57,1468669,3.9,4.1
,"Idaho","16","2007","2007",48,1505105,3.2,3.3
,"Idaho","16","2008","2008",58,1534320,3.8,3.9
,"Idaho","16","2009","2009",50,1554439,3.2,3.4
,"Idaho","16","2010","2010",61,1567582,3.9,4.0
,"Idaho","16","2011","2011",65,1584985,4.1,4.3
,"Idaho","16","2012","2012",45,1595728,2.8,3.0
,"Idaho","16","2013","2013",57,1612136,3.5,3.5
,"Idaho","16","2014","2014",56,1634464,3.4,3.6
,"Idaho","16","2015","2015",61,1654930,3.7,4.0
,"Idaho","16","2016","2016",77,1683140,4.6,4.7
,"Idaho","16","2017","2017",63,1716943,3.7,3.8
,"Idaho","16","2018","2018",75,1754208,4.3,4.3
,"Idaho","16","2019","2019",81,1787065,4.5,4.5
,"Idaho","16","2020","2020",89,1826913,4.9,4.9
,"Illinois","17","1999","1999",71,12359020,0.6,0.6
,"Illinois","17","2000","2000",98,12419293,0.8,0.8
,"Illinois","17","2001","2001",121,12488445,1.0,1.0
,"Illinois","17","2002","2002",141,12525556,1.1,1.1
,"Illinois","17","2003","2003",123,12556006,1.0,1.0
,"Illinois","17","2004","2004",140,12589773,1.1,1.1
,"Illinois","17","2005","2005",171,12609903,1.4,1.4
,"Illinois","17","2006","2006",193,12643955,1.5,1.5
,"Illinois","17","2007","2007",234,12695866,1.8,1.8
,"Illinois","17","2008","2008",251,12747038,2.0,2.0
,"Illinois","17","2009","2009",276,12796778,2.2,2.1
,"Illinois","17","2010","2010",250,12830632,1.9,1.9
,"Illinois","17","2011","2011",239,12869257,1.9,1.9
,"Illinois","17","2012","2012",269,12875255,2.1,2.1
,"Illinois","17","2013","2013",273,12882135,2.1,2.1
